PageId,TagName,Tag Content
POTSALESET,POTSALESET_TAX_ADDED_SUCCESSFULLY,Tax added successfully
POTSALESET,HIDE_INVOICE_PREVIEW,Hide Invoice Preview
POTSALESET,POTSALESET_Provide_tax_name,Provide a tax name
POTSALESET,POTSALESET_Add_Tax,Add Tax
POTSALESET,POTSALESET_Define_how_discount_limits_are_applied_w,"Define how discount limits are applied when multiple rules exist across user, role, and store levels."
POTSALESET,FOOTER_MSG_TWO,Thank you! Come again!
POTSALESET,GSTSETTINGACTIONCONFIRMMSG,"Are you sure, do you want to deactivate?"
POTSALESET,POTSALESET_No,No
POTSALESET,POTSALESET_Invoice_Configuration,Invoice Configuration
POTSALESET,POTSALESET_Invoice,Invoice
POTSALESET,POTSALESET_Please_enter_reason,Please enter a reason
POTSALESET,POTSALESET_Customize_the_appearance_of_the_invoices,Customize the appearance and details of the invoices
POTSALESET,POTSALESET_Enter_Tax_Name,"Enter your tax name (e.g., VAT, GST, IVA)"
POTSALESET,POTSALESET_Added_on,Added on
POTSALESET,POTSALESET_Allow_Discount_No_Restriction,Allow Discount (No Restriction)
POTSALESET,POTSALESET_Tax,Tax
POTSALESET,POTSALESET_Select_anyone_of_the_tax_group,Select anyone of the tax group
POTSALESET,POTSALESET_Role_level,Role level
POTSALESET,POTSALESET_Tax_prefix,Tax Name
POTSALESET,POTSALESET_Payment_Method,Payment Method
POTSALESET,POTSALESET_Discount_Limit_Rules,Discount Limit Rules
POTSALESET,POTSALESET_Information,Information
POTSALESET,POTSALESET_TAX_NAME_UPDATED_SUCCESSFULLY,Tax name updated successfully
POTSALESET,POTSALESET_Add_Tax_Group,Add Tax Group
POTSALESET,POTSALESET_Tax_Configuration_Desc,Customize tax groups and taxes that align with business needs
POTSALESET,POTSALESET_Add_Reason,Add Reason
POTSALESET,SHOW_INVOICE_BUTTON,Show Invoice Preview
POTSALESET,POTSALESET_Search_roles,Search roles
POTSALESET,SAMPLE_CASHIER_NAME,Vikram
POTSALESET,POTSALESET_JUNE,June
POTSALESET,POTSALESET_Are_you_sure_to_reset_the_invoice,Are you sure to reset the invoice/bill number now? You cannot undo this action.
POTSALESET,POTSALESET_NOVEMBER,November
POTSALESET,POTSALESET_Tax_Note,"Note: Once saved, this tax name will update across customer details, invoices, and POS bill-related screens."
POTSALESET,GSTSETTINGADDNUMBER,GST Number
POTSALESET,POTSALESET_Configure,Configure
POTSALESET,POTSALESET_Enter_the_first_line_of_footer_message,Enter the first line of footer message
POTSALESET,POTSALESET_Search_adminstaff_members,Search admin/staff members
POTSALESET,POTSALESET_Discount,Discount
POTSALESET,POTSALESET_Payment_method,Payment method
POTSALESET,POTSALESET_TAX_UPDATED_SUCCESSFULLY,Tax updated successfully
POTSALESET,POTSALESET_LOGO_PLACEMENT_FOR_A4,Logo Placement for A4 Invoice Printing
POTSALESET,POTSALESET_Automatically_select_a_prefered,Automatically select a prefered payment type while generating invoice
POTSALESET,GSTSETTINGINFO2,"Invoices created for the clients (services, products, etc) will use this GST number."
POTSALESET,POTSALESET_ROUND_OFF_VALUE_SETTINGS_UPDATED_SUCCESSFULLY,Round-off value settings updated successfully
POTSALESET,POTSALESET_No_user_has_been_assigned_with_discount,No user has been assigned with discount limit
POTSALESET,GSTSETTINGACTIONDEACTIVED,Deactivated
POTSALESET,GSTSETTINGACTIONCANCEL,Cancel
POTSALESET,POTSALESET_Enter_the_tax_name,Enter the tax name
POTSALESET,POTSALESET_Configure_Tax_details,details for the invoice
POTSALESET,POTSALESET_PosTour_Heading,"Simplify operations, maintain accuracy, facilitate secure transactions, experience error-free billing and enhance customer satisfaction."
POTSALESET,POTSALESET_Deactivate_current,Deactivate current
POTSALESET,POTSALESET_Allows_users_to_apply_discounts_during_c,Allows users to apply discounts during checkout without any restrictions.
POTSALESET,TAX_NO_258945631,Tax no : 258945631
POTSALESET,GSTSETTINGADDTITLE,Add GST Number
POTSALESET,POTSALESET_TAX_GROUP,Tax Group
POTSALESET,POTSALESET_Settings,Settings
POTSALESET,POTSALESET_SELECT_Tax_Type,Select Tax Type
POTSALESET,POTSALESET_Discount_before_tax_Desc,Apply discounts before tax for service and product sales
POTSALESET,POTSALESET_BASICALLY_THE_OUTLET_SHOULD_HAVE_ONLY_GST_NUMBER_MORE_THAN_ONE_GST_NUMBER_PREVIOUS_GST_NEED_DEACTIVATED,"An Outlet (business location) can have only one GST number. If you add more than one GST number, previously specified GST number needs to be deactivated."
POTSALESET,FOOTER_MSG_ONE,Type some message to print in the invoice
POTSALESET,POTSALESET_User_level,User level
POTSALESET,POTSALESET_Tax_Settings,Settings
POTSALESET,SAMPLE_TAX_AMOUNT,0.00
POTSALESET,POTSALESET_Apply_taxes_to_services_and_products,Apply taxes to saleable items
POTSALESET,SAMPLE_SERVICE,Hair Cut
POTSALESET,SAMPLE_PARTICULAR,Particular
POTSALESET,POTSALESET_Invoice_preview,Invoice preview
POTSALESET,POTSALESET_Do_you_want_to_reset_the_invoice_sequence_number,Do you want to reset the invoice sequence number?
POTSALESET,POTSALESET_Payment_Method_Configuration,Payment Method Configuration
POTSALESET,TAXSETTINGNUMBER, Number
POTSALESET,POTSALESET_The_store_level_discount_limit_will_be_a,"The store-level discount limit will be applied by default, including for newly created or unconfigured users and roles."
POTSALESET,POTSALESET_107,Tax name already exists!
POTSALESET,POTSALESET_All_services,All services
POTSALESET,POTSALESET_Select_starting_month,Select a starting month
POTSALESET,POTSALESET_36,Update
POTSALESET,POTSALESET_Are_you_sure_you_want_to_deactivate,Are you sure you want to deactivate
POTSALESET,POTSALESET_User_restriction_status_updated,User restriction status updated
POTSALESET,POTSALESET_38,Choose payment methods for all of your locations
POTSALESET,POTSALESET_Reasons_for_Invoice_Receipt_Deletion_Desc,Add a reason that will be listed while deleting the invoice/receipt
POTSALESET,POTSALESET_32,All Services
POTSALESET,POTSALESET_33,All Products
POTSALESET,POTSALESET_34,Update Tax
POTSALESET,POTSALESET_Enter_the_header_message,Enter the header message
POTSALESET,POTSALESET_35,Delete
POTSALESET,SAMPLE_CUSTOMER_MOBILE_NUMBER,9863xxx265
POTSALESET,POTSALESET_INVOICE_OR_RECEIPT_FOR_PAST_DATES_SETTINGS_UPDATED_SUCCESSFULLY,Invoice or receipt for past dates settings updated successfully
POTSALESET,POTSALESET_Invoice_Settings,Invoice Settings
POTSALESET,GSTSETTINGLISTDEACTIVATEON,Deactivated on: 
POTSALESET,POTSALESET_30,Tax
POTSALESET,POTSALESET_Deactivated_on,Deactivated on
POTSALESET,POTSALESET_31,Percentage
POTSALESET,POTSALESET_tax_amount_excluded_product,The tax amount is excluded from the unit price of the product
POTSALESET,POTSALESET_Shows_the_discount_limit_applied_to_each,"Shows the discount limit applied to each staff member at the billing screen, based on your current settings."
